Timestamp,What times work for you? [13:30-15:30],What times work for you? [14:00-16:00],What times work for you? [14:30-16:30],What times work for you? [15:00-17:00],What times work for you? [15:30-17:30],What times work for you? [16:00-18:00],What times work for you? [16:30-18:30],What times work for you? [17:00-19:00],What times work for you? [17:30-19:30],What times work for you? [18:00-20:00],What times work for you? [18:30-20:30],Are you interested in participating remotely?,R comfort level,Research/data science/R interests,What is your favorite R function (or package)?,Questions/comments/suggestions?
10/18/2018 7:52:19,"Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday",Maybe sometimes,Beginner (just started!),"Ecological data. glms (glmm, manyglm) and gradient analysis, basics.","mvabund, vegan",Are we going to go over the basics? I can do all times as long as i know at list 2 weeks ahead.
10/18/2018 13:30:35,"Sunday, Monday, Wednesday","Sunday, Monday, Wednesday","Sunday, Wednesday",NA,NA,NA,NA,NA,NA,NA,NA,Maybe sometimes,Intermediate (familiar with how things work),"Spatial analysis, data visualization, advanced statistical analyses and modelling, parallel computing",NA,NA
10/18/2018 14:01:05,NA,NA,Wednesday,NA,NA,NA,NA,NA,NA,NA,NA,Maybe sometimes,Beginner (just started!),NA,NA,NA
10/18/2018 14:03:48,NA,"Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday","Wednesday, Thursday",Maybe sometimes,Intermediate (familiar with how things work),Spacial analasys and bioacustics,monitorR,NA
10/18/2018 14:04:20,"Sunday, Monday","Sunday, Monday","Sunday, Monday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday",NA,NA,Maybe sometimes,Advanced (writing code from scratch; writing complicated scripts or functions),"Data management, data visualization, learning to use git",NA,NA
10/18/2018 14:10:13,"Sunday, Monday, Tuesday, Thursday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe sometimes,Beginner (just started!),Learning new functions in order to work quicker and efficiently,NA,NA
10/18/2018 14:10:21,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,NA,NA,NA,NA,NA,Maybe sometimes,Beginner (just started!),NA,NA,NA
10/18/2018 14:12:39,Thursday,Thursday,"Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday",NA,NA,No,Advanced (writing code from scratch; writing complicated scripts or functions),NA,NA,NA
10/18/2018 14:13:14,"Sunday, Tuesday","Sunday, Monday, Tuesday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday",NA,NA,NA,NA,NA,No,Intermediate (familiar with how things work),"SDMs, statistics","dismo, MASS",NA
10/18/2018 14:19:13,Tuesday,"Tuesday, Wednesday",NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe sometimes,Intermediate (familiar with how things work),Analyses,NA,NA
10/18/2018 14:20:22,"Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Intermediate (familiar with how things work),Climate change (micro-climate) effect on reproduction in lizards,Ape,Nope
10/18/2018 14:20:55,"Sunday, Tuesday, Wednesday","Sunday, Tuesday, Wednesday","Sunday, Tuesday, Wednesday",Tuesday,NA,NA,NA,NA,NA,NA,NA,Maybe sometimes,Intermediate (familiar with how things work),PhD,ggplot2; plyr,NA
10/18/2018 14:21:41,NA,NA,NA,NA,NA,NA,NA,NA,"Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday",NA,Yes,Advanced (writing code from scratch; writing complicated scripts or functions),(Evolutionary) biology; R to code models and/or perform data exploration+stats,"Think ggplot2,plyr & dplyr always get attached",Re. myself: based in Eilat
10/18/2018 14:26:32,"Sunday, Monday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Beginner (just started!),want to learn r for statistics for my masters project,brand new to it so don't know,NA
10/18/2018 14:37:54,"Sunday, Monday, Thursday","Monday, Thursday","Monday, Thursday","Monday, Thursday","Monday, Thursday","Monday, Thursday",NA,NA,NA,NA,NA,Maybe sometimes,Intermediate (familiar with how things work),"Ecological data. Visualization, loops, and everything I can learn","lm, PGLS, glm (don't know very much...)",NA
10/18/2018 14:49:17,Tuesday,Tuesday,"Tuesday, Wednesday","Tuesday, Wednesday","Tuesday, Wednesday","Tuesday, Wednesday",NA,NA,NA,NA,NA,No,Intermediate (familiar with how things work),Community ecology,NA,NA
10/18/2018 15:03:35,NA,"Monday, Tuesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday",NA,NA,Maybe sometimes,Intermediate (familiar with how things work),NA,lubridate,NA
10/18/2018 15:05:50,"Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Sunday, Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday",NA,NA,NA,NA,No,Intermediate (familiar with how things work),Diversity Time Series Analysis (TS Statistics & Null models),rle,NA
10/18/2018 15:16:27,NA,NA,NA,Sunday,Sunday,NA,NA,NA,NA,Sunday,Sunday,Yes,Intermediate (familiar with how things work),"macroecology, big data handling and manipulation, mixed models, spatial analysis",phytools,NA
